LINHA 1: KEYWORD(inicio)
LINHA 30: DOLLAR($)
LINHA 31: RBRACE(})
LINHA 32: KEYWORD(repita_enquanto)
LINHA 32: LBRACKET([)
LINHA 32: IDENTIFIER(contador)
LINHA 32: LESS(<)
LINHA 32: INTEGER(5)
LINHA 32: RBRACKET(])
LINHA 32: LBRACE({)
LINHA 33: IDENTIFIER(contador)
LINHA 33: ASSIGN(=)
LINHA 33: IDENTIFIER(contador)
LINHA 33: PLUS(+)
LINHA 33: INTEGER(1)
LINHA 33: DOLLAR($)
LINHA 34: KEYWORD(mostre)
LINHA 34: LPAREN(()
LINHA 34: STRING(’Verificando estoque...’)
LINHA 34: RPAREN())
LINHA 34: DOLLAR($)
LINHA 35: RBRACE(})
LINHA 36: KEYWORD(para)
LINHA 36: IDENTIFIER(i)
LINHA 36: KEYWORD(de)
LINHA 36: INTEGER(1)
LINHA 36: KEYWORD(ate)
LINHA 36: INTEGER(3)
LINHA 36: KEYWORD(faca)
LINHA 36: LBRACE({)
LINHA 37: KEYWORD(mostre)
LINHA 37: LPAREN(()
LINHA 37: STRING(’Lote conferido: ’)
LINHA 37: RPAREN())
LINHA 37: DOLLAR($)
LINHA 38: KEYWORD(mostre)
LINHA 38: LPAREN(()
LINHA 38: IDENTIFIER(i)
LINHA 38: RPAREN())
LINHA 38: DOLLAR($)
LINHA 39: RBRACE(})
LINHA 40: KEYWORD(se)
LINHA 40: LBRACKET([)
LINHA 40: IDENTIFIER(estoque)
LINHA 40: MODULO(%)
LINHA 40: INTEGER(2)
LINHA 40: EQUAL(==)
LINHA 40: INTEGER(0)
LINHA 40: RBRACKET(])
LINHA 40: KEYWORD(faz)
LINHA 40: LBRACE({)
LINHA 41: KEYWORD(mostre)
LINHA 41: LPAREN(()
LINHA 41: STRING(’Quantidade par em estoque.’)
LINHA 41: RPAREN())
LINHA 41: DOLLAR($)
LINHA 42: RBRACE(})
LINHA 44: KEYWORD(se)
LINHA 44: LBRACKET([)
LINHA 44: IDENTIFIER(estoque)
LINHA 44: LESS_EQUAL(<=)
LINHA 44: IDENTIFIER(limite)
LINHA 44: AND(&&)
LINHA 44: IDENTIFIER(estoque)
LINHA 44: NOT_EQUAL(!=)
LINHA 44: IDENTIFIER(quantidade)
LINHA 44: RBRACKET(])
LINHA 44: KEYWORD(faz)
LINHA 44: LBRACE({)
LINHA 45: KEYWORD(mostre)
LINHA 45: LPAREN(()
LINHA 45: STRING(’Atencao: estoque baixo.’)
LINHA 45: RPAREN())
LINHA 45: DOLLAR($)
LINHA 46: RBRACE(})
LINHA 47: KEYWORD(fim)
